Company,Type,Screen (in),CPU,RAM,OS,Launch Year,Price (USD)
Apple,MacBook Pro,13.3,Intel Core i5-5257U 2.3GHz,8GB,macOS,2015,856.54
Apple,MacBook Air,13.3,Intel Core i5-5350U 1.8GHz,8GB,macOS,2016,574.75
HP,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,No OS,2017,367.63
Apple,MacBook Pro,15.4,Intel Core i7-4770HQ 2.7GHz,16GB,macOS,2015,1622.34
Apple,MacBook Pro,13.3,Intel Core i5-7267U 3.1GHz,8GB,macOS,2017,1153.15
Acer,Notebook,15.6,AMD A9-9420 3.0GHz,4GB,Windows 10,2017,255.74
Apple,MacBook Pro,15.4,Intel Core i7-6700HQ 2.6GHz,16GB,macOS,2016,1368.21
Apple,MacBook Air,13.3,Intel Core i5-5350U 1.8GHz,8GB,macOS,2016,740.83
Asus,Ultrabook,14,Intel Core i7-8550U 1.8GHz,16GB,Windows 10,2018,955.84
Acer,Ultrabook,14,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,492.31
HP,Notebook,15.6,Intel Core i5-7200U 2.5GHz,4GB,No OS,2017,251.84
HP,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,No OS,2016,220.57
Apple,MacBook Pro,15.4,Intel Core i7-6700HQ 2.6GHz,16GB,macOS,2016,1560.02
Dell,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,Windows 10,2016,318.98
Apple,MacBook,12,Intel Core m3-6Y30 1.1GHz,8GB,macOS,2016,807.13
Apple,MacBook Pro,13.3,Intel Core i5-5257U 2.3GHz,8GB,macOS,2015,970.9
Dell,Notebook,15.6,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,476.32
Apple,MacBook Pro,15.4,Intel Core i7-6920HQ 2.9GHz,16GB,macOS,2016,1827.29
Lenovo,Notebook,15.6,Intel Core i3-7100U 2.4GHz,8GB,No OS,2017,319.04
Dell,Ultrabook,13.3,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,625.93
Asus,Netbook,11.6,Intel Atom x5-Z8350 1.44GHz,2GB,Windows 10,2018,122.69
Lenovo,Gaming,15.6,Intel Core i5-7300HQ 2.5GHz,8GB,Windows 10,2017,638.72
HP,Notebook,15.6,AMD E-Series E2-9000e 1.5GHz,4GB,No OS,2016,164.95
Dell,2-in-1 Convertible,13.3,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,523.64
HP,Ultrabook,15.6,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,421.34
Dell,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,Windows 10,2016,267.66
Apple,MacBook Air,13.3,Intel Core i5-5250U 1.6GHz,8GB,macOS,2016,702.66
Dell,Notebook,15.6,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,511.49
Dell,Ultrabook,15.6,Intel Core i7-8650U 1.9GHz,8GB,Windows 10,2018,829.89
HP,Notebook,17.3,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,572.87
Chuwi,Notebook,15.6,Intel Atom x5-Z8300 1.44GHz,4GB,Windows 10,2018,156.64
Asus,Notebook,14,AMD E-Series E2-6110 1.5GHz,2GB,Windows 10,2016,127.23
HP,Notebook,17.3,AMD A6-9220 2.5GHz,4GB,Windows 10,2017,280.68
Dell,Ultrabook,13.3,Intel Core i7-8550U 1.8GHz,16GB,Windows 10,2018,1194.96
Apple,MacBook Air,13.3,Intel Core i5-5250U 1.6GHz,8GB,macOS,2016,638.08
Lenovo,Notebook,14,Intel Celeron N3350 1.1GHz,4GB,Windows 10,2016,159.2
Acer,Notebook,15.6,Intel Core i3-7130U 2.7GHz,4GB,Linux,2017,234.65
Dell,Notebook,17.3,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,625.93
HP,Notebook,15.6,Intel Core i5-7200U 2.5GHz,4GB,Windows 10,2017,312.45
HP,Notebook,15.6,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,562
Asus,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,Linux,2016,248.71
Dell,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,958.4
Asus,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Linux,2017,334.38
Acer,Notebook,15.6,Intel Core i5-8250U 1.6GHz,4GB,Windows 10,2018,436.04
Dell,2-in-1 Convertible,17.3,Intel Core i5-8250U 1.6GHz,12GB,Windows 10,2018,638.72
Apple,MacBook Pro,13.3,Intel Core i5-6360U 2.0GHz,8GB,macOS,2016,907.25
Lenovo,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,No OS,2016,235.92
Asus,Gaming,17.3,AMD Ryzen 1700 3GHz,8GB,Windows 10,2018,830.53
Dell,Notebook,15.6,Intel Core i5-7200U 2.5GHz,4GB,Windows 10,2017,408.55
Asus,Notebook,17.3,Intel Pentium N4200 1.1GHz,4GB,Windows 10,2016,297.94
Lenovo,2-in-1 Convertible,10.1,Intel Atom x5-Z8550 1.44GHz,4GB,Windows 10,2018,203.96
Acer,Notebook,15.6,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,537.7
HP,Notebook,15.6,AMD A6-9220 2.5GHz,4GB,Windows 10,2017,254.78
HP,Notebook,13.3,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,705.21
Acer,Notebook,15.6,Intel Core i3-7100U 2.4GHz,4GB,Windows 10,2017,245.51
Dell,Notebook,15.6,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,490.9
HP,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,Windows 10,2016,280.68
Asus,Notebook,15.6,Intel Core i5-7200U 2.5GHz,4GB,Windows 10,2017,374.79
MSI,Gaming,17.3,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,1565.79
Asus,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,Linux,2016,265.33
Dell,Notebook,17.3,Intel Core i7-8550U 1.8GHz,16GB,Windows 10,2018,830.53
Dell,Ultrabook,14,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,562
Lenovo,Notebook,14,Intel Core i3-7130U 2.7GHz,8GB,No OS,2017,382.98
Asus,Notebook,14,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,601.64
HP,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,441.16
Asus,Ultrabook,15.6,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,1267.85
HP,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,Windows 10,2016,280.48
HP,Notebook,14,Intel Celeron N3060 1.6GHz,4GB,Windows 10,2016,146.41
Lenovo,Notebook,15.6,Intel Core i5-7200U 2.5GHz,4GB,Windows 10,2017,351.01
Asus,Gaming,17.3,Intel Core i7-7700HQ 2.8GHz,12GB,Linux,2017,606.75
Microsoft,Ultrabook,13.5,Intel Core i5-7200U 2.5GHz,4GB,Windows 10 S,2017,696.26
Dell,Ultrabook,13.3,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,610.59
Dell,Notebook,15.6,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,556.24
MSI,Gaming,17.3,Intel Core i5-7300HQ 2.5GHz,8GB,Windows 10,2017,700.1
Acer,Notebook,14,Intel Core i3-6006U 2.0GHz,8GB,Windows 10,2016,248.71
Asus,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,606.75
Lenovo,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,No OS,2017,331.83
Dell,Notebook,15.6,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,546.65
Acer,Notebook,15.6,Intel Core i3-7130U 2.7GHz,4GB,Windows 10,2017,338.86
HP,Notebook,17.3,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,624.65
Dell,Ultrabook,15.6,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,700.84
Apple,MacBook,12,Intel Core i5-6Y54 1.2GHz,8GB,macOS,2016,965.43
HP,Notebook,14,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,549.85
Lenovo,Notebook,15.6,AMD A6-9220 2.5GHz,4GB,Windows 10,2017,255.1
Acer,Notebook,15.6,AMD A9-9420 3.0GHz,4GB,Windows 10,2017,252.55
Dell,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,862.5
HP,Ultrabook,15.6,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,446.91
HP,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,382.97
Asus,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,926.43
Dell,Ultrabook,13.3,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,1054.3
Asus,Gaming,15.6,AMD FX 9830P 3GHz,8GB,Windows 10,2016,446.91
Acer,Notebook,15.6,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,440.52
HP,Notebook,13.3,Intel Core i7-8550U 1.8GHz,16GB,Windows 10,2018,765.31
Dell,Gaming,15.6,Intel Core i5-7300HQ 2.5GHz,8GB,Windows 10,2017,764.04
Asus,Ultrabook,14,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,670.69
Acer,2-in-1 Convertible,13.3,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,541.54
Dell,Notebook,15.6,Intel Core i7-7500U 2.7GHz,8GB,Linux,2017,383.55
Dell,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,Linux,2016,310.09
Asus,Notebook,15.6,Intel Core i3-7100U 2.4GHz,6GB,Windows 10,2017,368.91
HP,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,12GB,Windows 10,2017,798.56
HP,Notebook,15.6,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,459.7
HP,Notebook,15.6,AMD E-Series E2-9000e 1.5GHz,4GB,Windows 10,2016,223.14
Dell,Notebook,15.6,Intel Core i5-8250U 1.6GHz,8GB,Linux,2018,413.67
HP,Ultrabook,13.3,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,715.44
Microsoft,Ultrabook,13.5,Intel Core i5-7200U 2.5GHz,8GB,Windows 10 S,2017,856.74
HP,Notebook,14,Intel Core i5-7200U 2.5GHz,6GB,Windows 10,2017,421.34
Lenovo,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,Windows 10,2016,265.27
Asus,Ultrabook,14,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,762.76
MSI,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,830.53
Lenovo,Notebook,14,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,946.25
Asus,Ultrabook,15.6,Intel Core i7-8550U 1.8GHz,16GB,Windows 10,2018,806.87
Dell,Ultrabook,13.3,Intel Core i7-7560U 2.4GHz,8GB,Windows 10,2017,881.68
Lenovo,2-in-1 Convertible,13.3,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,894.46
